"Gene","Frequency"
"ERCC3",1
"ESAM",1
"FASN",1
"FAT4",1
"FGF10",1
"FGF12",1
"FGF14",1
"FGF16",1
"FGF17",1
"FGF23",1
"FGF3",1
"FGF4",1
"FGF5",1
"FGF9",1
"FLVCR2",1
"FOXG1",1
"FOXJ1",1
"FRMD7",1
"FTSJ1",1
"FYN",1
"GALR2",1
"GAPDH",1
"GCH1",1
"GCM2",1
"GFRA1",1
"GJA1",1
"GJB6",1
"GLRA1",1
"GLRA2",1
"GLRB",1
"GNAQ",1
"GRHL2",1
"GRM7",1
"HES7",1
"HESX1",1
"HEY2",1
"HOXA1",1
"INPP5F",1
"JAM2",1
"JAM3",1
"KAT8",1
"KCNA2",1
"KCNB1",1
"KCNK4",1
"KDM4B",1
"KIF1A",1
"KIF1B",1
"KIF21A",1
"KIF3B",1
"KISS1R",1
"KY",1
"LAMA2",1
"LDLR",1
"LZTS1",1
"MACF1",1
"MAPRE2",1
"MEIS2",1
"MMP9",1
"MTR",1
"MYH14",1
"MYPN",1
"NCAM1",1
"NCOA3",1
"NDUFS2",1
"NDUFS4",1
"NEUROG3",1
"NEXN",1
"NF2",1
"NKX2-1",1
"NLRP1",1
"NOG",1
"NOTCH2",1
"NOTCH3",1
"NPPA",1
"OBSL1",1
"PCDH15",1
"PCLO",1
"PDYN",1
"PER2",1
"PHF8",1
"PHGDH",1
"PIP5K1C",1
"PITX2",1
"PLP1",1
"PLXND1",1
"POMK",1
"PPFIBP1",1
"PREPL",1
"PRRT2",1
"PRUNE1",1
"PTCH1",1
"PTF1A",1
"PTPN11",1
"PTPRC",1
"PTPRJ",1
"QARS1",1
"RAB18",1
"RBBP7",1
"RELA",1
"ROBO1",1
"ROBO3",1
"RORB",1
"RP1L1",1
"RPL15",1
"RTN4IP1",1
"SALL1",1
"SCN4B",1
"SCN9A",1
"SEMA3D",1
"SEMA4A",1
"SEMA6B",1
"SEMA7A",1
"SERPINE1",1
"SETD1A",1
"SIGMAR1",1
"SLC13A3",1
"SLC16A1",1
"SLC16A12",1
"SLC16A2",1
"SLC19A1",1
"SLC1A4",1
"SLC22A5",1
"SLC25A46",1
"SLC27A4",1
"SLC2A1",1
"SLC2A10",1
"SLC38A3",1
"SLC44A1",1
"SLC4A3",1
"SLC4A4",1
"SLC5A1",1
"SLC5A5",1
"SLC5A6",1
"SLC6A1",1
"SLC6A2",1
"SLC6A3",1
"SLC6A6",1
"SLC6A9",1
"SMAD2",1
"SMG9",1
"SNCA",1
"SOS1",1
"SOX6",1
"SOX9",1
"SPINK5",1
"STAC3",1
"STRA6",1
"STX1A",1
